Country,Country2,system.index,Threshold,treecover2000,.geo,Value,Delta
Luxembourg,LU,11,65,86.62814531878229,NA,86.7,-8.287737164673034e-4
MT,MT,NA,NA,NA,NA,NA,NA
Hungary,HU,2,20,2075.4398906949377,NA,2069,0.0031125619598539054
Poland,PL,8,50,9304.309393882424,NA,9435,-0.013851680563601055
Italy,IT,4,30,9129.120012401912,NA,9297,-0.018057436549218847
France,FR,2,20,17054.77314607977,NA,16989,0.003871513690021161
Slovakia,LO,13,75,1948.533807208125,NA,1940,0.004398869694909756
Germany,GM,8,50,11349.622727060374,NA,11419,-0.00607559969696348
Czechia,EZ,10,60,2651.226094450106,NA,2667,-0.005914475271801332
Romania,RO,10,60,6908.611099524376,NA,6861,0.00693938194496082
Croatia,HR,12,70,1946.0886951960556,NA,1922,0.012533140060382725
Sweden,SW,0,10,26737.635052724894,NA,28073,-0.04756758975795625
Finland,FI,0,10,20690.27667193045,NA,22218,-0.06876061427984297
United Kingdom,UK,6,40,3134.5857235401304,NA,3144,-0.0029943627416888032
Ireland,EI,6,40,739.5456491514103,NA,754.02,-0.019196242604426494
Spain,SP,0,10,13794.799568503213,NA,18417.87,-0.2510100479315353
Lithuania,LH,5,35,2172.07906321106,NA,2180,-0.003633457242632935
Latvia,LG,0,10,3334.27511004121,NA,3356,-0.006473447544335472
Estonia,EN,8,50,2246.8317704234073,NA,2232,0.006645058433426212
Greece,GR,2,20,4166.691555424991,NA,4054,0.027797620973110716
Bulgaria,BU,8,50,3790.988806507369,NA,3823,-0.008373317680520746
Belgium,BE,10,60,674.9572362884696,NA,683.4,-0.012354058694074257
Netherlands,NL,10,60,390.315749816916,NA,376,0.0380738027045639
Austria,AU,9,55,3858.066931200923,NA,3869,-0.0028258125611467727
CY,CY,NA,NA,NA,NA,NA,NA
Slovenia,SI,8,50,1243.3824218920463,NA,1248,-0.003699982458296238
SZ,SZ,NA,NA,NA,NA,NA,NA
Portugal,PO,0,10,2576.441553347941,NA,3182,-0.19030749423383378
NO,NO,NA,NA,NA,NA,NA,NA
Denmark,DA,4,30,608.9042146518154,NA,612.2,-0.005383510859497891
